Nasi Lemak	Malaysian	sweet, coconut, rice, nutty, spicy, curry, chicken, cucumber	http://1.bp.blogspot.com/_wjO9ZSr8ZTA/S8dAoPOHqwI/AAAAAAAAId4/Jzj3FesR28I/s800/SSWF-NasiLemak.jpg	
Asam Laksa	Malaysian	spicy, sour, soup, noodles, seafood	http://www.malaysia.com/images/9/169-0407_Penang_Asam_Laksa.jpg	Tom Yum
Baklava	Mediterranean	flaky, sweet, baked, crusty, crumbly, nutty, sticky, sugary	http://3.bp.blogspot.com/_UIXOn06Pz70/R-ghsnYm1gI/AAAAAAAACV4/TeY6gmo442E/s800/Baklava.jpg	
Briam 	Mediterranean	casserole, potato, garlic, tomato, savory	http://www.cookingwithmarialoi.com/pictures/recipes/fullsize/Briam_Oven_baked_vegetables_1.jpg	
Beef Enchiladas	Mexican	cheesy, beef, tomato, spicy, saucy, savory	http://www.recipegirl.com/wp-content/uploads/2011/05/beef-and-cheese-enchiladas-19.jpg	
Empanada	Mexican	spicy, breaded, crunchy, stuffed	http://ih.constantcontact.com/fs053/1102839655608/img/177.gif	Samosa, Potstickers, Sambusa
Pisto	Spanish	stew, tomato, onion, eggplant, bell pepper	http://www.spanish-food.org/images/vegeta-pisto.jpg	Ratatouille, Caponata
Penang Curry	Thai	spicy, thick, nutty, sweet, saucy	http://frangipani.com/wordpress/wp-content/uploads/2013/05/Phanaeng-Curry.jpg	
Pad Thai	Thai	noodles, sweet, nutty, shrimp, chicken, tofu	http://savorysweetlife.com/wp-content/uploads/2009/06/padthai.jpg	
Tom Yum	Thai	spicy, sour, shrimp, seafood, soup	http://importfood.com/media/recipes/thumbnails/tomyum_l.jpg	Asam Laksa
